Template,Specialty,Pain outline,HPI fields
"Family medicine - general visit","Family medicine","conditional",50
"Internal medicine - general visit","Internal medicine","conditional",50
"Emergency medicine - general visit","Emergency medicine","conditional",50
"General practice - general visit","General practice","conditional",50
"Cardiology - general visit","Cardiology","conditional",50
"Pulmonology - general visit","Pulmonology","conditional",50
"General surgery - general visit","General surgery","conditional",50
"Gastroenterology - general visit","Gastroenterology","conditional",50
"Neurology - general visit","Neurology","conditional",50
"Orthopedics - general visit","Orthopedics","conditional",50
"Rheumatology - general visit","Rheumatology","conditional",50
"Nephrology - general visit","Nephrology","conditional",50
"Urology - general visit","Urology","conditional",50
"Obstetrics & gynecology - general visit","Obstetrics & gynecology","conditional",50
"Endocrinology - general visit","Endocrinology","conditional",50
"Dermatology - general visit","Dermatology","conditional",50
"Otolaryngology - general visit","Otolaryngology","conditional",50
"Ophthalmology - general visit","Ophthalmology","conditional",50
"Psychiatry - general visit","Psychiatry","conditional",52
"Pediatrics - general visit","Pediatrics","conditional",50
"Hematology - general visit","Hematology","conditional",50
"General & constitutional assessment","general","conditional",50
"General cardiovascular assessment","cardio","conditional",50
"General respiratory assessment","resp","conditional",50
"General gastrointestinal assessment","gi","conditional",50
"General neurologic assessment","neuro","conditional",50
"General musculoskeletal assessment","msk","conditional",50
"General renal & urinary assessment","renal","conditional",50
"General reproductive & obstetric assessment","repro","conditional",50
"General endocrine & metabolic assessment","endo","conditional",50
"General skin & dermatologic assessment","skin","conditional",50
"General ear, nose & throat assessment","ent","conditional",50
"General eye & visual assessment","eye","conditional",50
"General mental health assessment","psych","conditional",52
"General pediatric assessment","peds","conditional",50
"General hematologic & lymphatic assessment","heme","conditional",50
"Fever","general","conditional",53
"Fatigue","general","conditional",49
"Unintentional weight loss","general","conditional",49
"Night sweats","general","conditional",51
"Chest pain","cardio","primary",49
"Palpitations","cardio","conditional",49
"Syncope","cardio","conditional",49
"Leg swelling","cardio","conditional",51
"Cough","resp","conditional",51
"Shortness of breath","resp","conditional",52
"Wheezing","resp","conditional",50
"Hemoptysis","resp","conditional",49
"Abdominal pain","gi","primary",49
"Nausea & vomiting","gi","conditional",53
"Diarrhea","gi","conditional",53
"Constipation","gi","conditional",49
"Headache","neuro","primary",49
"Dizziness / vertigo","neuro","conditional",49
"Weakness","neuro","conditional",49
"Numbness / tingling","neuro","conditional",49
"Low back pain","msk","primary",49
"Knee pain","msk","primary",49
"Shoulder pain","msk","primary",49
"Multiple joint pain","msk","primary",49
"Painful urination","renal","primary",49
"Blood in urine","renal","conditional",50
"Flank pain","renal","primary",49
"Urinary frequency","renal","conditional",49
"Pelvic pain","repro","primary",49
"Abnormal vaginal bleeding","repro","conditional",49
"Vaginal discharge","repro","conditional",49
"Missed period / pregnancy concern","repro","conditional",49
"Excessive thirst / urination","endo","conditional",49
"Heat intolerance","endo","none",40
"Cold intolerance","endo","none",41
"Weight gain","endo","none",40
"Rash","skin","conditional",51
"Pruritus","skin","conditional",49
"Changing skin lesion","skin","conditional",49
"Skin redness / swelling","skin","conditional",50
"Sore throat","ent","primary",50
"Ear pain","ent","primary",49
"Nasal congestion / sinus pressure","ent","primary",49
"Hearing loss / tinnitus","ent","conditional",49
"Red eye","eye","conditional",49
"Vision loss / blurred vision","eye","conditional",49
"Eye pain","eye","primary",49
"Double vision","eye","conditional",49
"Low mood","psych","none",43
"Anxiety / panic","psych","none",43
"Insomnia","psych","none",43
"Hallucinations / unusual beliefs","psych","none",43
